files                : 2026
bytes                : 342722404
blocks above 7.5     : 5916 of 6528

ext       files          bytes       pct  blk>thr    mean H
.PNG       1456      155470460  45.3634 %     3191    7.9826
.OGG        363      119011030  34.7252 %     2076    7.9321
.MP3         23       25354236   7.3979 %      398    7.9632
.TTF          4       15795408   4.6088 %        0    6.8236
.DLL          6        7722320   2.2532 %       45    6.9513
.EXE          2        7085056   2.0673 %       88    7.7760
.CHM          1        6633819   1.9356 %      101    7.9981
.BMP          5        2400280   0.7004 %        6    7.2215
.RVDATA2    117        2248383   0.6560 %        0    2.0714
.PDF          2         402773   0.1175 %        7    7.9840
.TXT         27         220549   0.0644 %        0    5.5083
.ZIP          1         208185   0.0607 %        3    7.9901
.ICO          1          82555   0.0241 %        1    7.5027
(none)        6          55482   0.0162 %        0    6.1677
.SAZANAMI      2          14748   0.0043 %        0    6.3153
.MPLUS        6           9632   0.0028 %        0    5.6856
.EN           2           5294   0.0015 %        0    5.2836
.VDF          1           2041   0.0006 %        0    5.3381
.INI          1            153   0.0000 %        0    5.0705
